"id","submitdate","lastpage","startlanguage","startdate","datestamp","Consent","Gender","Age","Degree","Role.R1.","Role.R2.","Role.R3.","Role.R4.","Role.R5.","Role.R6.","Role.R7.","Role.R8.","Role.R9.","Role.R10.","Role.other.","Bias.B1.","Bias.B2.","Bias.B3.","Bias.B4.","Bias.B5.","Bias.B6.","Bias.B7.","Bias.B8.","Bias.B9.","Bias.B10.","Bias.other.","IT","Work","Training","Notation.None.","Notation.BPMN.","Notation.EPC.","Notation.UMLAD.","Notation.UML.","Notation.CMMN.","Notation.other.","SetId","Tutorial","Experience","Model1Q1a","Model1Q2a","Model1Q3a","Model1Q4a","Model1Q5a.SQ001.","Model1Q5a.SQ002.","Model1Q5a.SQ003.","Model1Q5a.SQ004.","Model1Q5a.SQ005.","Model1Q5a.SQ006.","Perceived1a.ans.","Model2Q1a","Model2Q2a","Model2Q3a","Model2Q4a","Model2Q5a.SQ001.","Model2Q5a.SQ002.","Model2Q5a.SQ003.","Model2Q5a.SQ004.","Model2Q5a.SQ005.","Model2Q5a.SQ006.","Perceived2a.ans.","Model3Q1a","Model3Q2a","Model3Q3a","Model3Q4a","Model3Q5a.SQ001.","Model3Q5a.SQ002.","Model3Q5a.SQ003.","Model3Q5a.SQ004.","Model3Q5a.SQ005.","Model3Q5a.SQ006.","Perceived3a.ans.","Model4Q1a","Model4Q2a","Model4Q3a","Model4Q4a","Model4Q5a.SQ001.","Model4Q5a.SQ002.","Model4Q5a.SQ003.","Model4Q5a.SQ004.","Model4Q5a.SQ005.","Model4Q5a.SQ006.","Perceived4a.ans.","Model5Q1a","Model5Q2a","Model5Q3a","Model5Q4a","Model5Q5a.SQ001.","Model5Q5a.SQ002.","Model5Q5a.SQ003.","Model5Q5a.SQ004.","Model5Q5a.SQ005.","Model5Q5a.SQ006.","Perceived5a.ans.","Model6Q1a","Model6Q2a","Model6Q3a","Model6Q4a","Model6Q5a.SQ001.","Model6Q5a.SQ002.","Model6Q5a.SQ003.","Model6Q5a.SQ004.","Model6Q5a.SQ005.","Model6Q5a.SQ006.","Perceived6a.ans.","Model1Q1b","Model1Q2b","Model1Q3b","Model1Q4b","Model1Q5b.SQ001.","Model1Q5b.SQ002.","Model1Q5b.SQ003.","Model1Q5b.SQ004.","Model1Q5b.SQ005.","Model1Q5b.SQ006.","Perceived1b.ans.","Model2Q1b","Model2Q2b","Model2Q3b","Model2Q4b","Model2Q5b.SQ001.","Model2Q5b.SQ002.","Model2Q5b.SQ003.","Model2Q5b.SQ004.","Model2Q5b.SQ005.","Model2Q5b.SQ006.","Perceived2b.ans.","Model3Q1b","Model3Q2b","Model3Q3b","Model3Q4b","Model3Q5b.SQ001.","Model3Q5b.SQ002.","Model3Q5b.SQ003.","Model3Q5b.SQ004.","Model3Q5b.SQ005.","Model3Q5b.SQ006.","Perceived3b.ans.","Model4Q1b","Model4Q2b","Model4Q3b","Model4Q4b","Model4Q5b.SQ001.","Model4Q5b.SQ002.","Model4Q5b.SQ003.","Model4Q5b.SQ004.","Model4Q5b.SQ005.","Model4Q5b.SQ006.","Perceived4b.ans.","Model5Q1b","Model5Q2b","Model5Q3b","Model5Q4b","Model5Q5b.SQ001.","Model5Q5b.SQ002.","Model5Q5b.SQ003.","Model5Q5b.SQ004.","Model5Q5b.SQ005.","Model5Q5b.SQ006.","Perceived5b.ans.","Compare1vs2.ans.","Compare1vs3.ans.","Compare1vs4.ans.","Compare1vs5.ans.","Compare1vs6.ans.","Compare2vs1.ans.","Compare2vs3.ans.","Compare2vs4.ans.","Compare2vs5.ans.","Compare2vs6.ans.","Compare3vs1.ans.","Compare3vs2.ans.","Compare3vs4.ans.","Compare3vs5.ans.","Compare3vs6.ans.","Compare4vs1.ans.","Compare4vs2.ans.","Compare4vs3.ans.","Compare4vs5.ans.","Compare4vs6.ans.","Compare5vs1.ans.","Compare5vs2.ans.","Compare5vs3.ans.","Compare5vs4.ans.","Compare5vs6.ans.","Compare6vs1.ans.","Compare6vs2.ans.","Compare6vs3.ans.","Compare6vs4.ans.","Compare6vs5.ans.","Weights.CasePlan.","Weights.Stage.","Weights.DStage.","Weights.PlanFrag.","Weights.CFileItem.","Weights.Task.","Weights.DTask.","Weights.NBHTask.","Weights.ProcTask.","Weights.CaseTask.","Weights.CaseTasknim.","Weights.BHTask.","Weights.Event.","Weights.UserEvent.","Weights.TimerEvent.","Weights.Milestone.","Weights.Connector.","Weights.HumanIcon.","Weights.CPlanningT.","Weights.EPlanningT.","Weights.AComplete.","Weights.Collapsed.","Weights.Expanded.","Weights.ManualA.","Weights.Repetition.","Weights.Required.","Weights.EntryCritWC.","Weights.EntryCrit.","Weights.ExitCritWC.","Weights.ExitCrit.","Weights.EntryCritAND.","Weights.EntryCritOR.","Weights.ExitCritAND.","Weights.ExitCritOR.","Charity","Charity.other.","EarlyAccess","Final","interviewtime","groupTime1","ConsentTime","groupTime2","GenderTime","AgeTime","DegreeTime","RoleTime","BiasTime","ITTime","WorkTime","TrainingTime","NotationTime","SetIdTime","groupTime3","TutorialTime","ExperienceTime","groupTime5","Model1Q1aTime","Model1Q2aTime","Model1Q3aTime","Model1Q4aTime","Model1Q5aTime","Perceived1aTime","groupTime6","Model2Q1aTime","Model2Q2aTime","Model2Q3aTime","Model2Q4aTime","Model2Q5aTime","Perceived2aTime","groupTime7","Model3Q1aTime","Model3Q2aTime","Model3Q3aTime","Model3Q4aTime","Model3Q5aTime","Perceived3aTime","groupTime8","Model4Q1aTime","Model4Q2aTime","Model4Q3aTime","Model4Q4aTime","Model4Q5aTime","Perceived4aTime","groupTime9","Model5Q1aTime","Model5Q2aTime","Model5Q3aTime","Model5Q4aTime","Model5Q5aTime","Perceived5aTime","groupTime10","Model6Q1aTime","Model6Q2aTime","Model6Q3aTime","Model6Q4aTime","Model6Q5aTime","Perceived6aTime","groupTime11","Model1Q1bTime","Model1Q2bTime","Model1Q3bTime","Model1Q4bTime","Model1Q5bTime","Perceived1bTime","groupTime12","Model2Q1bTime","Model2Q2bTime","Model2Q3bTime","Model2Q4bTime","Model2Q5bTime","Perceived2bTime","groupTime13","Model3Q1bTime","Model3Q2bTime","Model3Q3bTime","Model3Q4bTime","Model3Q5bTime","Perceived3bTime","groupTime14","Model4Q1bTime","Model4Q2bTime","Model4Q3bTime","Model4Q4bTime","Model4Q5bTime","Perceived4bTime","groupTime15","Model5Q1bTime","Model5Q2bTime","Model5Q3bTime","Model5Q4bTime","Model5Q5bTime","Perceived5bTime","groupTime16","Compare1vs2Time","groupTime17","Compare1vs3Time","groupTime18","Compare1vs4Time","groupTime19","Compare1vs5Time","groupTime20","Compare1vs6Time","groupTime21","Compare2vs1Time","groupTime22","Compare2vs3Time","groupTime23","Compare2vs4Time","groupTime24","Compare2vs5Time","groupTime25","Compare2vs6Time","groupTime26","Compare3vs1Time","groupTime27","Compare3vs2Time","groupTime28","Compare3vs4Time","groupTime29","Compare3vs5Time","groupTime30","Compare3vs6Time","groupTime31","Compare4vs1Time","groupTime32","Compare4vs2Time","groupTime33","Compare4vs3Time","groupTime34","Compare4vs5Time","groupTime35","Compare4vs6Time","groupTime36","Compare5vs1Time","groupTime37","Compare5vs2Time","groupTime38","Compare5vs3Time","groupTime39","Compare5vs4Time","groupTime40","Compare5vs6Time","groupTime41","Compare6vs1Time","groupTime42","Compare6vs2Time","groupTime43","Compare6vs3Time","groupTime44","Compare6vs4Time","groupTime45","Compare6vs5Time","groupTime4","WeightsTime","groupTime46","CharityTime","EarlyAccessTime","FinalTime"
184,"2016-06-30 10:29:05",46,"en","2016-06-30 10:10:18","2016-06-30 10:29:05","1","M",43,5,,,,,,,"1",,,"1",,,"1",,"1","1",,,,,,,20,3,2,,"1",,"1",,"1",,5,"1",,5,"1","2",,,"1",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,"1","2","1","1",,"1",,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A2",,,,1130.78,124.44,,162.55,,,,,,,,,,,48.31,,,371.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.03,,54.62,,,
185,,,"en","2016-06-30 20:16:47","2016-06-30 20:16:47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"2016-07-01 00:48:28",46,"en","2016-06-30 23:56:11","2016-07-01 00:48:28","1","F",50,4,,,,,,,,,,"1",,,"1",,,,,,,,,,20,10,1,,"1",,,"1",,,7,"1",,,,,,,,,,,,,,"1","1","2",,"1","1",,,,4,,"1","2","2",,,"1","1",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,3,,,,2,,,,1,,2,2,,,2,1,,,,,4,,,,1,"-oth-","http://www.choc.org/giving/",,,3141.68,8.62,,43.18,,,,,,,,,,,23.29,,,,,,,,,,234.84,,,,,,,131.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,,105.49,,,
188,,,"en","2016-07-01 00:26:13","2016-07-01 00:26:13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,4,"en","2016-07-01 08:22:45","2016-07-01 08:25:45","1","M",36,4,,,,,,,,,,"1",,,,,"1","1",,,,,,,14,5,2,,"1",,,"1","1",,10,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.42,10.65,,102.24,,,,,,,,,,,68.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,2,"en","2016-07-01 15:40:50","2016-07-01 15:58:28","1","F",30,3,,,,"1",,,,,,,,,,,,,,,,,"1",,0,6,0,,,,,,,"process maps",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.11,141.23,,111.51,,,,,,,,,,,806.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"2016-07-01 17:58:42",46,"en","2016-07-01 17:27:22","2016-07-01 17:58:41","1","M",50,4,,"1",,,,,,,,"1",,,"1",,"1","1",,,,,,,30,20,10,,"1","1","1",,"1","Flow Charts",12,"1",,,,,,,,,,,,,,,,,,,,,,,,4,"1",,"2","1",,,"1","1",,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,"1","2","2","1","1","1",,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",,,,1882.59,46.37,,115.62,,,,,,,,,,,1179.23,,,,,,,,,,,,,,,,,211.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.77,,91,,,
192,"2016-07-01 18:10:08",46,"en","2016-07-01 17:43:12","2016-07-01 18:10:08","1",,,4,,,,,,,,,,"1",,,,,,"1",,,,,,,15,8,,,"1",,,,"1",,13,"1",,,,,,,,,,,,,,,,,,,,,,,,1,"1","2","2","1",,"1","1","1",,5,16,"1","2","2","1",,"1",,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,6,,,,,,1,,,3,3,3,3,,1,,7,,,,2,,,,,,,,2,,,"A2",,,,883.2,8.39,,109.15,,,,,,,,,,,75.64,,,,,,,,,,,,,,,,,127.58,,,,,,,396.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.71,,33.64,,,
193,,2,"en","2016-07-01 17:47:58","2016-07-01 17:48:22","1","M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25,4.9,,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"2016-07-05 05:27:15",46,"en","2016-07-02 19:00:26","2016-07-05 05:27:15","1","M",44,4,,,,,,,,,,"1",,,,,,,,,,,"1",,19,5,,,"1",,"1","1",,,15,"1",,,,,,,,,,,,,,,,,,,,,,,,3,"2","2","1","1",,,,,,4,,,,,,,,,,,,,,,,,,,,,,,5,"2","2","1",,,,,,"1",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A4",,,,1952.4,8.98,,85.54,,,,,,,,,,,79.27,,,,,,,,,,,,,,,,,58.14,,,,,,,,,,,,,,,,,,,,,319.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.53,,31.95,,,
195,,2,"en","2016-07-02 23:07:20","2016-07-02 23:12:45","1","M",53,4,,"1",,"1",,,"1",,,,,,,,,,,,,,"1",,30,12,2,,"1",,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.72,42.42,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,"en","2016-07-03 00:24:01","2016-07-03 00:24:01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,2,"en","2016-07-03 10:13:48","2016-07-03 10:16:58","1","F",40,4,,,,,,,,"1",,,,,,,,,,,,,"1",,0,0,40,,"1",,"1",,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.21,46.28,,144.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,1,"en","2016-07-03 13:40:46","2016-07-03 13:42:20","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.06,94.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,6,"en","2016-07-03 13:56:49","2016-07-03 13:59:16","1","M",38,3,,"1",,,,,"1",,,,,,,,,,,,"1",,,,20,8,0,"1",,,,,,,20,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.04,16.24,,71.19,,,,,,,,,,,60.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,"en","2016-07-03 15:18:04","2016-07-03 15:18:04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,1,"en","2016-07-03 16:09:08","2016-07-03 16:09:26","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.24,18.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,0,"en","2016-07-03 16:51:42","2016-07-03 16:52:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.94,38.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"2016-07-03 20:45:32",46,"en","2016-07-03 19:29:55","2016-07-03 20:45:32","1","M",53,5,,"1",,"1",,,"1",,,,,,,,,,,,,,"1",,30,12,2,,"1",,,,,,24,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,"2","1","1",,,,,,"1",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,"1","2","1",,,"1",,"1",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A1",,,"The reason why I found the planning table icons (expanded and collapsed) difficult is that they seemed cluttered. I would have preferred that the +/- part take up more icon real estate.

As for the ""expanded decorator"", I am not sure it was covered in the tutorial, which made it hard for me to understand.",1155.65,13.75,,87.36,,,,,,,,,,,9.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.76,,,,,,,,,,,,,,268.81,,270.28,,,
204,,2,"en","2016-07-03 19:34:11","2016-07-03 19:35:10","1","M",53,4,,"1",,,,,,,,,,,,,,,,,,,"1",,30,12,2,,"1",,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28,11.41,,48.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,8,"en","2016-07-04 00:11:25","2016-07-04 00:16:07","1","M",48,2,,,,,,,,,,"1",,,,,,,"1",,,,,,30,10,4,,"1",,,,,,26,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.01,19.64,,137.03,,,,,,,,,,,126.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,"en","2016-07-04 06:48:28","2016-07-04 06:48:28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
